Combination,Weight1,Weight2,10-Year Return
QQQ-SCHD,10,0,490.8397911
QQQ-SCHD,10,0,416.5516891
QQQ-SCHD,10,0,446.855581
QQQ-SCHD,10,0,380.7329805
QQQ-SCHD,10,0,435.7291532
QQQ-SCHD,10,0,383.1808626
QQQ-SCHD,10,0,328.4686187
QQQ-SCHD,10,0,370.4425739
QQQ-SCHD,10,0,390.1105701
QQQ-SCHD,10,0,348.0257266
QQQ-SCHD,10,0,382.8102642
QQQ-SCHD,10,0,379.4240414
QQQ-SCHD,10,0,409.5227734
QQQ-SCHD,10,0,399.4378948
QQQ-SCHD,10,0,420.2025469
QQQ-SCHD,10,0,466.5661333
QQQ-SCHD,10,0,453.4886967
QQQ-SCHD,10,0,447.4478477
QQQ-SCHD,10,0,395.6858203
QQQ-SCHD,10,0,362.5208281
QQQ-SCHD,10,0,394.982668
QQQ-SCHD,10,0,407.7740629
QQQ-SCHD,10,0,427.1397548
QQQ-SCHD,10,0,427.7957492
QQQ-SCHD,10,0,449.5474505
QQQ-SCHD,10,0,427.1954205
QQQ-SCHD,10,0,435.6022111
QQQ-SCHD,10,0,452.9821655
QQQ-SCHD,10,0,437.3509448
QQQ-SCHD,10,0,417.3654226
QQQ-SCHD,10,0,434.9764477
QQQ-SCHD,10,0,416.6999622
QQQ-SCHD,10,0,420.6758728
QQQ-SCHD,10,0,435.0280164
QQQ-SCHD,10,0,458.2268686
QQQ-SCHD,10,0,406.5587981
QQQ-SCHD,10,0,379.4403627
QQQ-SCHD,10,0,376.9682051
QQQ-SCHD,10,0,409.4317249
QQQ-SPY,0,10,-26.77387872
QQQ-SPY,0,10,-22.44428272
QQQ-SPY,0,10,-15.98990924
QQQ-SPY,0,10,-20.45023222
QQQ-SPY,0,10,-11.77862466
QQQ-SPY,0,10,-8.043524635
QQQ-SPY,0,10,-2.607567329
QQQ-SPY,0,10,-10.23199117
QQQ-SPY,0,10,-6.262625442
QQQ-SPY,0,10,-9.632900514
QQQ-SPY,0,10,-8.354312027
QQQ-SPY,0,10,-4.034258216
QQQ-SPY,0,10,-7.186814276
QQQ-SPY,0,10,-2.320444807
QQQ-SPY,0,10,-8.645187671
QQQ-SPY,0,10,-15.04409953
QQQ-SPY,0,10,-7.793715878
QQQ-SPY,0,10,-17.34214445
QQQ-SPY,0,10,-4.711992226
QQQ-SPY,0,10,-0.60683586
QQQ-SPY,0,10,7.41175311
QQQ-SPY,0,10,15.19454068
QQQ-SPY,0,10,12.86086332
QQQ-SPY,0,10,29.09547914
QQQ-SPY,0,10,36.77545434
QQQ-SPY,0,10,29.65865568
QQQ-SPY,0,10,28.92729935
QQQ-SPY,0,10,29.8465179
QQQ-SPY,0,10,28.55972291
QQQ-SPY,0,10,29.15525843
QQQ-SPY,0,10,30.87230363
QQQ-SPY,0,10,43.29067347
QQQ-SPY,0,10,32.38544898
QQQ-SPY,0,10,33.01840043
QQQ-SPY,0,10,40.56455752
QQQ-SPY,0,10,49.34450094
QQQ-SPY,0,10,49.18441923
QQQ-SPY,0,10,57.3386677
QQQ-SPY,0,10,48.77238531
